iter	RMSE
237	5390.316314
238	5389.142129
239	5388.614722
240	5387.474351
241	5385.986139
242	5384.570194
243	5382.864338
244	5381.131631
245	5379.465647
246	5377.97301
247	5376.183587
248	5374.284358
249	5373.367587
250	5372.643612
251	5371.312226
252	5370.178856
253	5368.909443
254	5367.710276
255	5365.844325
256	5364.657006
257	5363.503774
258	5361.902587
259	5360.222077
260	5358.61505
261	5357.573332
262	5356.090273
263	5354.772481
264	5353.783067
265	5352.507565
266	5351.016725
267	5349.942801
268	5348.808146
269	5348.062923
270	5347.064631
271	5345.888644
272	5343.716686
273	5342.741703
274	5341.878664
275	5340.916815
276	5340.34066
277	5339.801346
278	5338.910045
279	5338.348692
280	5337.368381
281	5336.17649
282	5335.433698
283	5334.141171
284	5332.826235
285	5331.54579
286	5329.490538
287	5328.984495
288	5328.113342
289	5326.262023
290	5324.312475
291	5323.617233
292	5323.057172
293	5322.272065
294	5321.078332
295	5319.558122
296	5319.126333
297	5317.487836
298	5316.788697
299	5316.169271
300	5314.213002
301	5312.949241
302	5312.274639
303	5311.229863
304	5310.820548
305	5308.876417
306	5308.098368
307	5306.716356
308	5305.195509
309	5304.333794
310	5303.150707
311	5301.753318
312	5301.410803
313	5300.831729
314	5300.122973
315	5299.592339
316	5298.090312
317	5297.17783
318	5296.675249
319	5295.754183
320	5294.490418
321	5293.699997
322	5292.532069
323	5291.133508
324	5289.907245
325	5289.385212
326	5289.051268
327	5288.039946
328	5287.400267
329	5286.861335
330	5285.855255
331	5285.074553
332	5284.670577
333	5283.399286
334	5282.802013
335	5281.757282
336	5280.924196
337	5280.469603
338	5279.140186
339	5278.203226
340	5277.524758
341	5276.901624
342	5275.880704
343	5275.126549
344	5274.149992
345	5273.159627
346	5272.767063
347	5272.048786
348	5271.381818
349	5270.817867
350	5270.164088
351	5269.620296
352	5269.132426
353	5268.659258
354	5268.065793
355	5267.320831
356	5266.399967
357	5265.90585
358	5265.231591
359	5264.900243
360	5264.053534
361	5263.709386
362	5263.403656
363	5262.564601
364	5261.72545
365	5261.092563
366	5260.776308
367	5259.948205
368	5258.690997
369	5258.139999
370	5257.537833
371	5257.289666
372	5256.802802
373	5255.888278
374	5254.880763
375	5254.516375
376	5254.145369
377	5253.862515
378	5252.762048
379	5251.719331
380	5251.400908
381	5249.788572
382	5249.403538
383	5247.941549
384	5247.437945
385	5246.651535
386	5245.334556
387	5244.672854
388	5244.098582
389	5243.578765
390	5242.956259
391	5241.842015
392	5241.381895
393	5240.874836
394	5240.396643
395	5239.804522
396	5238.849632
397	5238.62581
398	5238.360443
399	5237.408417
400	5237.087473
401	5236.428785
402	5235.97834
403	5235.533587
404	5235.186636
405	5234.718021
406	5234.010448
407	5233.569168
408	5232.127015
409	5231.96302
410	5230.443325
411	5229.700798
412	5229.223147
413	5228.899541
414	5228.422546
415	5227.477473
416	5226.363376
417	5226.08414
418	5225.767779
419	5224.875206
420	5224.532954
421	5224.132246
422	5223.836345
423	5223.647603
424	5222.765984
425	5222.238018
426	5222.07055
427	5221.419623
428	5221.17454
429	5220.439667
430	5219.456377
431	5218.751391
432	5218.313879
433	5218.139447
434	5217.775611
435	5217.612278
436	5217.208733
437	5217.059627
438	5216.925193
439	5216.889438
440	5216.172965
441	5215.912489
442	5215.113508
443	5214.389503
444	5213.57555
445	5212.838789
446	5212.246703
447	5211.957041
448	5211.614538
449	5211.103085
450	5210.607338
451	5210.194978
452	5209.689583
453	5209.471933
454	5208.937789
455	5208.715222
456	5208.269696
457	5207.823546
458	5207.183322
459	5206.853518
460	5206.150737
461	5205.960176
462	5205.36007
463	5204.762895
464	5204.391631
465	5203.854486
466	5203.605524
467	5203.410719
468	5203.043944
469	5202.759334
470	5202.42481
471	5201.952288
472	5201.626274
473	5201.410842
474	5200.574175
475	5200.045319
476	5199.775942
477	5199.413666
478	5199.308753
479	5198.893208
480	5198.692505
481	5198.502387
482	5197.46985
483	5196.832168
484	5196.626126
485	5196.090172
486	5195.800317
487	5195.680676
488	5195.458676
489	5195.047105
490	5194.96335
491	5194.754221
492	5194.005842
493	5193.785721
494	5193.266303
495	5192.586436
496	5192.270185
497	5191.965926
498	5191.732389
499	5191.444219
