iter	Passed	Remaining
616	18816	5580
617	18852	5552
618	18879	5520
619	18911	5490
620	18933	5457
621	18954	5424
622	18976	5391
623	18993	5357
624	19020	5325
625	19054	5296
626	19075	5263
627	19105	5232
628	19123	5199
629	19151	5167
630	19184	5138
631	19215	5107
632	19248	5078
633	19267	5044
634	19305	5016
635	19345	4988
636	19389	4961
637	19414	4929
638	19437	4897
639	19463	4865
640	19494	4835
641	19531	4806
642	19570	4778
643	19601	4748
644	19639	4719
645	19679	4691
646	19715	4662
647	19752	4633
648	19784	4603
649	19814	4572
650	19853	4544
651	19874	4511
652	19912	4482
653	19945	4452
654	19976	4422
655	20011	4392
656	20048	4363
657	20077	4332
658	20110	4302
659	20129	4269
660	20156	4238
661	20186	4208
662	20228	4179
663	20264	4150
664	20295	4120
665	20332	4090
666	20356	4059
667	20393	4029
668	20418	3998
669	20450	3968
670	20479	3937
671	20519	3908
672	20554	3878
673	20588	3848
674	20620	3818
675	20652	3788
676	20680	3757
677	20713	3727
678	20750	3697
679	20777	3666
680	20818	3637
681	20857	3608
682	20901	3580
683	20940	3551
684	20973	3521
685	21000	3489
686	21041	3461
687	21076	3431
688	21110	3401
689	21145	3370
690	21172	3339
691	21209	3310
692	21239	3279
693	21263	3247
694	21296	3217
695	21321	3185
696	21345	3154
697	21380	3124
698	21416	3094
699	21456	3065
700	21482	3033
701	21520	3004
702	21558	2974
703	21592	2944
704	21628	2914
705	21658	2883
706	21692	2853
707	21731	2823
708	21773	2794
709	21806	2764
710	21841	2734
711	21864	2702
712	21901	2672
713	21930	2641
714	21956	2610
715	21982	2578
716	22021	2549
717	22059	2519
718	22097	2489
719	22138	2459
720	22169	2429
721	22207	2399
722	22241	2368
723	22280	2338
724	22308	2307
725	22341	2277
726	22376	2246
727	22403	2215
728	22434	2184
729	22463	2154
730	22484	2122
731	22525	2092
732	22550	2061
733	22575	2029
734	22600	1998
735	22628	1967
736	22649	1936
737	22682	1905
738	22707	1874
739	22730	1843
740	22757	1811
741	22792	1781
742	22828	1751
743	22868	1721
744	22900	1690
745	22935	1660
746	22964	1629
747	23002	1599
748	23027	1567
749	23051	1536
750	23085	1506
751	23122	1475
752	23153	1445
753	23178	1414
754	23195	1382
755	23218	1351
756	23239	1320
757	23274	1289
758	23312	1259
759	23336	1228
760	23369	1197
761	23401	1167
762	23439	1136
763	23478	1106
764	23511	1075
765	23553	1045
766	23582	1014
767	23614	983
768	23643	953
769	23682	922
770	23715	892
771	23745	861
772	23772	830
773	23800	799
774	23832	768
775	23860	737
776	23886	707
777	23917	676
778	23945	645
779	23967	614
780	23990	583
781	24008	552
782	24042	521
783	24078	491
784	24114	460
785	24150	430
786	24184	399
787	24234	369
788	24266	338
789	24303	307
790	24338	276
791	24371	246
792	24404	215
793	24433	184
794	24470	153
795	24497	123
796	24521	92
797	24547	61
798	24586	30
799	24622	0
